Date,Weight,Last Updated,Deleted
01/28/2025,171.6,2025-01-28T07:03:16-0800,false
01/29/2025,171.0,2025-01-29T07:24:11-0800,false
01/30/2025,170.0,2025-01-30T07:13:27-0800,false
01/31/2025,171.0,2025-01-31T07:46:16-0800,false
02/01/2025,170.0,2025-02-01T07:06:07-0800,false
02/03/2025,169.4,2025-02-03T07:28:23-0800,false
02/04/2025,168.9,2025-02-04T08:05:23-0800,false
02/05/2025,168.3,2025-02-05T07:14:29-0800,false
02/07/2025,168.9,2025-02-07T06:44:43-0800,false
02/08/2025,168.3,2025-02-08T07:02:00-0800,false
02/09/2025,167.2,2025-02-10T07:17:28-0800,false
02/11/2025,168.3,2025-02-11T06:34:38-0800,false
02/12/2025,168.9,2025-02-12T06:54:18-0800,false
02/13/2025,168.3,2025-02-13T06:31:47-0800,false
02/14/2025,168.3,2025-02-14T06:27:06-0800,false
02/18/2025,168.3,2025-02-18T06:26:19-0800,false
02/19/2025,167.2,2025-02-19T07:03:02-0800,false
03/04/2025,170.9,2025-03-04T06:52:25-0800,false
03/05/2025,168.5,2025-03-05T06:05:52-0800,false
03/06/2025,168.5,2025-03-06T06:10:43-0800,false
03/07/2025,168.5,2025-03-07T06:43:48-0800,false
03/08/2025,168.5,2025-03-08T06:35:54-0800,false
03/09/2025,168.5,2025-03-09T06:34:07-0800,false
03/10/2025,168.5,2025-03-10T06:09:32-0800,false
03/11/2025,169.8,2025-03-11T06:10:45-0800,false
03/17/2025,169.2,2025-03-17T06:24:54-0800,false
03/18/2025,167.9,2025-03-18T06:19:05-0800,false
03/19/2025,167.3,2025-03-19T06:16:13-0800,false
03/20/2025,167.3,2025-03-20T05:56:26-0800,false
03/31/2025,168.2,2025-03-31T06:37:33-0800,false
04/02/2025,167.1,2025-04-02T07:22:53-0800,false
04/04/2025,166.6,2025-04-04T06:06:17-0800,false
04/15/2025,168.8,2025-04-15T06:12:03-0800,false
11/21/2025,172.7,2025-11-21T11:23:27-0800,false
11/22/2025,172.0,2025-11-22T07:21:58-0800,false
11/23/2025,174.4,2025-11-23T07:03:56-0800,false
11/25/2025,172.0,2025-11-25T06:59:44-0800,false
11/26/2025,171.4,2025-11-26T07:41:09-0800,false
11/28/2025,173.4,2025-11-28T07:19:31-0800,false
12/06/2025,171.4,2025-12-06T07:07:21-0800,false
12/07/2025,172.0,2025-12-07T07:03:24-0800,false
12/10/2025,169.4,2025-12-10T07:32:54-0800,false
12/12/2025,170.2,2025-12-12T06:52:58-0800,false
12/13/2025,169.4,2025-12-13T07:29:47-0800,false
01/07/2026,170.8,2026-01-07T07:24:38-0800,false
